monolingual,Sub-task B
बॉलीवुड फ़िल्म देखने समय तर्क चोर मां झुंड कृप्या तर्क खाना घुसाओ,1
चुटिया,1
हमें जाट बंदे कहने मतलब समुद्र डालूगा उपयोग परंतु गांड मोटी गयी कैमरा देख चुटिया कक्ष प्रपत्र निराश ज़रूर bnda समलैंगिक होगा परंतु तथा जबकि होगा कबूल करे तभी कक्ष आयु बचो पंक्ति चुटिया kahinka,1
feminism कैंसर नारीवादी परंतु मतलब थोड़ी सारे महिलाओं गाली इंसान बलात्कार चेहरा हमे लुटेरा सुन्ना पड़ेगा,1
अमृत आनंद जुड़े बोलो जुड़ने,1
पंकज चौहान abey तुम जसे आदमियों लगता wse तुम्हारे जरुरी,1
कस्तूरी jaahil,1
"इसलिए जाट झांट है""मैं जाट हु""उसे nehi बाकि दुनिया उपयोग जाट nehi झांट बोलते",1
बिस्तर sirbhenco देश भक्ति गीत pelenge,0
आर्मी हमे मर्द चाहिएहिजड़े,0
मकान कार्ड देय,1
अच्छाई त्यागी झूटीईई,1
nan,1
नमस्ते मानव सलाहकार श्वेताभ गंगवार महोदय बोहोत चिकित्सकीय hubut श्वेताभ महोदय लड़का लड़की वीडियो बना गरम प्रेम संबंध विच्छेद अलावा ect मुसीबत नो-6200845455 संपर्क 1000 दोपहर बजे।,1
आपका वीडियो एफपीएस अच्छा रखना यूपी,1
"""लिबरल सहिष्णु है"" जबरदस्त हंसी",1
संवेदनशीलकठोरसनक बेपरवाह दर्द देने वालाप्रेम कहानी,1
प्रतीक डालासच्ची शिष्टता तार्किक उत्तर नारीवादी भारतीय संस्कृति पैर सवाल उठाते जरूर समझ भरत देश दुर्गा स्थान ुचा दिखाया ager समझ,1
"भारतीय फोजी पाकिस्तानी फोजी गांड ""मरने"" वाला चाहिए गांड ""मरवाने"" वाला",1
महारानी कोरियाई नाटक चारों,1
निष्पादित,1
सरकार भरोसा साल बची भूमि बाप अलग मोदी शाह उसका अरुंधति,1
1010 देखना पड़ेगा,1
यार लिख थोड़ा करो मिनट देता कहानी बता देता,1
नकारात्मक सकारात्मक दोनों महोदय नकारात्मक लिंग रों न्यायाधीश देश देशभक्ति तभी सेना शामिल करेगा सकारात्मक मुकाबला रावत कहना सेना समलैंगिक अनुमति सेना कार्य 46a,1
फूल इन्साफ औरतो सज़ा देना मिलने चेहये,1
तोह लड़कियां होनी चाहिए,1
चुटिया लड़की कर्मचारी परीक्षा अनाडी लड़की,0
नेटफ्लिक्स फालतू चीज़ मास्टर्स रखा,1
बोलने मान लिया जाये परंतु।,1
तरस आता तालिया बजने चुटीओ,1
कांग्रेस राज बीजेपी नेता पुरुषों बिल्ला लाइन बोलता तोह राजदीप ussie संविधान जनतंत्र falana falana gyaan बुलाया उससे कोसते उल्टा हैबीजेपी राज तथा खान्ग्रेस्स कम्युनिस्ट एहसान लेखक रही तोह राजदीप साप अंजीर गयाअब लाइटर मोड पिता ठंडा hyporacy,1
बाएं काम पिछवाड़ा धोने,1
धन्यवाद दीपिका भारद्वाज ।आप रहीं,1
बोलते mst वास्तविक,1
**श्वेताभ भैया गलत गलत जबकि साड़ी वीडियो डालते जबकि गायब इससे अच्छा हफ्ते10 वीडियो डालो,1
गयी य्र्र तेरी,1
प्रभात कुमार choosega साफ़ होजायेगा,1
अँधेरी रात करिये कृप्या,1
खान शाहब abey जहातु विदेशी खाना ज्यादाफॉरेन देशों तुम लोगो airport नंगा karwaate hahahahahahhahpehle प्रदर्शन मिलता,0
रोज़ अपेक्षा aaj राय ाचा,1
शेयर,1
menay yahi अंजीर मेरी ज़िंदगी वाक़ई,1
sach कड़वा hota iska उदाहरण वीडियो dislike dekh laga sakte,1
मेरे पिता बीसी कोण yrr hard hoti maana tumne baat said kahi lekin ispe tujhe alag video banani chahiye this tune title daala kabir singh baat kuch kar raha,0
army haame jabardast jawanoo jarurt taaki haam desh sheroo faujj hizzdo sena chahiye,0
just hope that jab aapki beti college pehle din entrance exam rank laake admission tab koi chutiya bewdaa class jaake bole meri property haisab durr rehna usse,0
kya baat back back videos kaisa launde,1
अरुंधति विचार नही विचारों लड़ाई खाक लड़ेगी ।उसका केवल विचार भारत वीरोध ।इससे अस्पष्ट मेरे पास शब्द नही,1
hindu muslim dange sirf politics bhadakte haiotherwise log peaceful,1
nice video realety bai,1
yeh pagal aurat dnt listen her isk jaise ghum rage jaha dikhe juta khol kar maro,0
maine pata 280 crore kaise kama,1
short bkvashaiis sabkethotkharab aaye gay lgbtke bareme koi aesa अनुपस्थित परंतु जोगेहोतेहो woa gundaynai decent इंसेंट होगानोएसीशॉर्ट फिल्मबनावोजिसेसबकेविचार अच्छी आये ऐसेगंदे विचार vali खाना bancoplz,1
नारीवादी chutiya बहोत कमल आना,1
sahi keh,1
समलैंगिक हिन्द,1
मयंक त्यागी,1
नारीवादी उदारवादी मैगी saale कभी अछि अच्छा सामग्री kush होंगे,1
रिहाई pahle matlab producer विशेष स्क्रीनिंग फ़िल्म दिखाई शुल्क popcorn समोसे बुराई थोड़ी करेगा रैली bad वालों dekhna,1
परंतु सूत्र channey बंद फूल,1
बराबर बेहतर kohi karhinahisakta। ऑस्कर मिलना चाहिए धन्यवाद,1
अनुभाग 375 तथा pailwan दोनों मस्त,1
लड़के गलती उपयोग लड़की कुमारी उपयोग कियेउसके प्रतिभा देख क्र आगे bdana chiye कुमारी उपयोग krke लड़की नेलड़के trh गलत mukdme fasaya,1
0420 httpswwwyoutubecomwatchv=zzsaudkxq1m&t=4m20s चाची जीकुछ लड़ाई करनी pdtigrow,1
कक्षाएं बिल्लाअर्णाभ,1
आधे zyada कहानी plot बता देता देखने,1
larki गलती तोह समाचार चैनल उसका सेहरा कलंक जाता larka गलती तोह प्रिय ज़ूम समुद्र समुद्र दिखाया जाता कहे समानता,1
आकाश kale चैनल अच्छाई कप्तान चमत्कार mein yus कुतिया ब्री लार्सन utha liya apne,0
शहीद कपूर बड़े लगाओगे aapmovie,1
gadar video शुरू रही,1
बता दिए एप्लिकेशन,1
मदद प्ल्ज़्ज़ अकेलेपन वजह कठिन काम अंग्रेज़ी seekh देहात परंतु दोस्त शहद वजह ज़िन्दगी kuch अभिमान,1
ranga बिल्ला zalim,1
मैंने इसलिए बड़े सिंह nhinnn देखि,1
चीज़ मुद्दा कैसे बनाया जाता प्रतिक सीखो,1
प्रसन्न आना bhul जाओ लड़की,1
सुचित्रा त्यागी बोहोत मुसीबत,1
महान एलेक्जेंड्रा सेना समलैंगिक कुंआ रखा विश्व देहात राज किआ,1
मेरे गलत raha,1
feminism cancer ekdam sahi bola,1
apki अहंकार मुद्दा मर्दो,1
थोड़ा शारीरिक रूप unfit निकल देते सेना mai,1
auto भैया best,1
बीटा चुटिया इधर aagaya प्रतिगामी कलंक leke,1
मेल महिला,1
इसलिए chudappa,0
ummmmmm kisi potential desh sewa krne ese uski personal life desh sewa connect thk kuki desh pyar desh pyar hota uske liye koi mar mitne tyar skta koi desh raksha krne lye sochega gay kuch desh raksha kre desh rehta uske kuch duties,1
feminism maa chod dee,0
ekdum sahi,1
may apki batose agree karta asi film hum sabko sikhna chaiye kaha galatiya karna thanku much sir ashi acchi videos apeksha karti,1
bakhwas baat hain khas thor par smaglikta,1
