iter	Logloss
0	0.6807573105
1	0.6702023581
2	0.6611389255
3	0.6534111632
4	0.6467598733
5	0.6410712545
6	0.6362408906
7	0.6321365172
8	0.6284318038
9	0.6254073247
10	0.6227650855
11	0.6205409588
12	0.6186303196
13	0.6169757615
14	0.6154607839
15	0.6142213064
16	0.6131590855
17	0.6122399371
18	0.611407815
19	0.6106461714
20	0.6099676098
21	0.6094408783
22	0.6089651635
23	0.6085630865
24	0.6081933367
25	0.6077407555
26	0.6074470588
27	0.607211706
28	0.6069845895
29	0.6067823059
30	0.6065524897
31	0.6063854764
32	0.6061809155
33	0.6059943529
34	0.6058718662
35	0.6057497095
36	0.6054870445
37	0.6053122627
38	0.6051848165
39	0.6050093897
40	0.6048896177
41	0.6047461778
42	0.6046754195
43	0.6044978102
44	0.6043612252
45	0.6042738636
46	0.6040974773
47	0.6039542349
48	0.6037889887
49	0.6036473454
50	0.6035086255
51	0.6033976765
52	0.6033129538
53	0.6032183449
54	0.6030593152
55	0.6028226869
56	0.602695713
57	0.6026366462
58	0.602369833
59	0.6023375687
60	0.6021552839
61	0.6021101668
62	0.6020330783
63	0.6019228763
64	0.601827562
65	0.6017978555
66	0.6016813798
67	0.601642307
68	0.6015351692
69	0.6015004747
70	0.6014459017
71	0.6013346468
72	0.6012280434
73	0.6011486713
74	0.6010677511
75	0.6009578824
76	0.6008636865
77	0.6008403065
78	0.6007298441
79	0.6006414084
80	0.6005725837
81	0.6005033562
82	0.6004369802
83	0.6003982573
84	0.6003119678
85	0.6002423259
86	0.6001651766
87	0.6000775552
88	0.5999778421
89	0.5998199008
90	0.5996978632
91	0.5996127118
92	0.5995776317
93	0.5995278699
94	0.5994723799
95	0.5994072667
96	0.5993149401
97	0.5992448225
98	0.5991448554
99	0.5990704207
100	0.5989563673
101	0.5989122332
102	0.598830237
103	0.5986702537
104	0.5986424858
105	0.5985844193
106	0.598484073
107	0.5984287388
108	0.59837108
109	0.5983515383
110	0.5982081288
111	0.5981004946
112	0.598054983
113	0.5979938433
114	0.597927724
115	0.5978143631
116	0.5977825543
117	0.59765217
118	0.597520079
119	0.5974388697
120	0.597308691
121	0.5972602774
122	0.5971403751
123	0.5970719386
124	0.596978428
125	0.5969023407
126	0.5968056493
127	0.596712971
128	0.5965853774
129	0.5964434855
130	0.5963193891
131	0.5962025848
132	0.5960694555
133	0.5958740437
134	0.5958102731
135	0.5957414124
136	0.5956490403
137	0.5955949077
138	0.5954875091
139	0.5954475433
140	0.5953633724
141	0.5952858692
142	0.5952161491
143	0.5950411318
144	0.5949326617
145	0.594817561
146	0.5947608885
147	0.5946710203
148	0.5945257754
149	0.5943936439
150	0.5942440248
151	0.594139486
152	0.5940176246
153	0.593877048
154	0.5936810453
155	0.5935511463
156	0.5934548623
157	0.5933379681
158	0.5932516306
159	0.5931522863
160	0.5930184682
161	0.5928473736
162	0.5927636837
163	0.5926077657
164	0.5924881618
165	0.5924122164
166	0.5922574736
167	0.5921219982
168	0.592009314
169	0.5919351564
170	0.5918365599
171	0.5917170159
172	0.5915929394
173	0.5914262828
174	0.591368324
175	0.5912999706
176	0.5912075385
177	0.5911299132
178	0.5910208491
179	0.590986716
180	0.590822556
181	0.5906552713
182	0.5905363415
183	0.590402556
184	0.5903458448
185	0.5902640969
186	0.5901696394
187	0.5901391019
188	0.5900601682
189	0.5900053445
190	0.5899263352
191	0.5898727443
192	0.5898003065
193	0.5896552669
194	0.5895406058
195	0.5894806298
196	0.5894528606
197	0.5893303269
198	0.5892102734
199	0.5890445775
200	0.588873771
201	0.5887739475
202	0.5886727784
203	0.5885902399
204	0.5885010104
205	0.5884117865
206	0.5882929744
207	0.5882066102
208	0.5881065735
209	0.5880397113
210	0.58791612
211	0.5877843124
212	0.587644594
213	0.5875401786
214	0.5873711969
215	0.5872962635
216	0.5872398852
217	0.5871399371
218	0.5870610764
219	0.58694156
220	0.5868217269
221	0.5867198037
222	0.5866665107
223	0.586604237
224	0.5865454917
225	0.5864388102
226	0.5864050989
227	0.5863046437
228	0.586252202
229	0.5862181795
230	0.5861040315
231	0.5860419226
232	0.5859681337
233	0.5858374982
234	0.5857073478
235	0.5856842675
236	0.585578693
237	0.5854848037
238	0.5854146299
239	0.585361346
240	0.5852193602
241	0.5851404607
242	0.5850240789
243	0.5849141767
244	0.5847652269
245	0.5846746649
246	0.5845940633
247	0.5845316955
248	0.5844539038
249	0.5843992696
250	0.5843540597
251	0.5842984236
252	0.5841987564
253	0.5841180032
254	0.584050804
255	0.5839298425
256	0.5838604814
257	0.5837479244
258	0.5836508053
259	0.5835818759
260	0.5835580386
261	0.58350965
262	0.5834656221
263	0.5832799898
264	0.5831952152
265	0.5831200448
266	0.5830240724
267	0.5829729928
268	0.5829327247
269	0.5828327034
270	0.582790919
271	0.5827220127
272	0.5826271909
273	0.5825574928
274	0.5824946051
275	0.5824583119
276	0.5823718859
277	0.5823170981
278	0.5822517105
279	0.5821920551
280	0.5821043564
281	0.5820433323
282	0.5819568443
283	0.5818395562
