iter	Passed	Remaining
0	86	43075
1	95	23733
2	105	17419
3	115	14378
4	127	12584
5	137	11282
6	149	10496
7	160	9882
8	171	9360
9	181	8901
10	193	8616
11	204	8327
12	215	8088
13	226	7872
14	237	7692
15	248	7528
16	259	7369
17	271	7266
18	280	7112
19	291	6999
20	306	6983
21	319	6931
22	331	6884
23	344	6834
24	357	6789
25	368	6715
26	378	6629
27	387	6528
28	396	6441
29	406	6363
30	414	6278
31	424	6204
32	432	6127
33	441	6054
34	451	5993
35	461	5946
36	470	5893
37	480	5840
38	489	5788
39	499	5739
40	507	5686
41	516	5634
42	525	5585
43	535	5553
44	546	5521
45	555	5482
46	564	5441
47	573	5404
48	584	5378
49	594	5347
50	603	5310
51	611	5271
52	621	5241
53	629	5202
54	638	5169
55	648	5138
56	657	5109
57	666	5078
58	675	5047
59	684	5017
60	692	4986
61	702	4961
62	711	4933
63	720	4906
64	729	4879
65	738	4854
66	747	4829
67	756	4805
68	765	4783
69	775	4762
70	784	4738
71	793	4717
72	802	4694
73	811	4670
74	820	4647
75	828	4623
76	837	4602
77	846	4579
78	855	4561
79	866	4547
80	877	4536
81	885	4516
82	894	4496
83	904	4480
84	914	4463
85	923	4444
86	932	4426
87	941	4406
88	952	4397
89	961	4378
90	970	4362
91	979	4343
92	988	4325
93	997	4309
94	1007	4295
95	1019	4288
96	1027	4269
97	1036	4252
98	1044	4232
99	1053	4215
100	1062	4199
101	1072	4185
102	1082	4173
103	1094	4166
104	1107	4166
105	1117	4154
106	1126	4138
107	1136	4124
108	1144	4106
109	1154	4092
110	1165	4085
111	1177	4079
112	1187	4067
113	1198	4058
114	1207	4042
115	1217	4030
116	1226	4015
117	1236	4003
118	1246	3990
119	1256	3977
120	1266	3966
121	1275	3952
122	1284	3937
123	1295	3928
124	1308	3926
125	1320	3919
126	1332	3913
127	1343	3904
128	1356	3901
129	1369	3897
130	1381	3891
131	1393	3885
132	1406	3879
133	1417	3871
134	1428	3862
135	1442	3859
136	1457	3861
137	1471	3861
138	1484	3854
139	1495	3844
140	1506	3834
141	1517	3826
142	1531	3822
143	1542	3813
144	1551	3799
145	1560	3784
146	1569	3770
147	1578	3755
148	1587	3740
149	1596	3725
150	1606	3713
151	1617	3703
152	1628	3693
153	1637	3679
154	1646	3665
155	1655	3651
156	1665	3638
157	1674	3624
158	1683	3610
159	1692	3596
160	1701	3583
161	1710	3569
162	1719	3555
163	1728	3542
164	1737	3528
165	1747	3515
166	1756	3502
167	1765	3488
168	1774	3475
169	1784	3463
170	1793	3450
171	1802	3436
172	1811	3423
173	1820	3410
174	1829	3397
175	1838	3383
176	1847	3371
177	1856	3358
178	1866	3347
179	1877	3338
180	1887	3327
181	1896	3313
182	1905	3300
183	1916	3290
184	1927	3282
185	1938	3272
186	1949	3262
187	1960	3253
188	1972	3246
189	1984	3238
190	1999	3234
191	2012	3229
192	2026	3223
193	2038	3215
194	2048	3203
195	2057	3191
196	2066	3178
197	2075	3166
198	2085	3154
199	2096	3144
200	2106	3133
201	2115	3121
202	2124	3108
203	2133	3096
204	2142	3082
205	2150	3069
206	2159	3057
207	2168	3044
208	2177	3032
209	2186	3019
210	2195	3007
211	2204	2994
212	2213	2982
213	2222	2969
214	2231	2957
215	2239	2945
216	2250	2935
217	2259	2923
218	2269	2911
219	2278	2899
220	2287	2888
221	2297	2876
222	2305	2863
223	2314	2851
224	2323	2839
225	2332	2827
226	2341	2815
227	2350	2804
228	2359	2792
229	2369	2782
230	2381	2773
231	2392	2763
232	2402	2753
233	2412	2741
234	2421	2730
235	2430	2719
236	2440	2707
237	2448	2695
238	2457	2683
239	2466	2672
240	2476	2661
241	2485	2650
242	2495	2638
243	2504	2627
244	2513	2615
245	2521	2603
246	2531	2592
247	2539	2580
248	2548	2569
249	2557	2557
250	2566	2546
251	2575	2534
252	2584	2523
253	2594	2512
254	2603	2501
255	2612	2489
256	2620	2478
257	2630	2467
258	2638	2455
259	2647	2443
260	2656	2432
261	2665	2421
262	2674	2410
263	2683	2399
264	2693	2388
265	2705	2380
266	2715	2369
267	2723	2357
268	2733	2347
269	2742	2336
270	2751	2324
271	2760	2313
272	2769	2302
273	2778	2291
274	2787	2280
275	2796	2269
276	2805	2258
277	2815	2248
278	2823	2236
279	2851	2240
280	2868	2235
281	2880	2226
282	2890	2216
283	2899	2205
284	2908	2194
285	2917	2183
286	2926	2172
287	2936	2161
288	2946	2151
289	2955	2140
290	2965	2129
291	2973	2118
292	2982	2107
293	2991	2096
294	3000	2085
295	3009	2074
296	3018	2062
297	3027	2052
298	3038	2042
299	3048	2032
300	3057	2021
301	3066	2010
302	3075	1999
303	3084	1988
304	3093	1977
305	3102	1967
306	3112	1956
307	3121	1945
308	3130	1935
309	3139	1924
310	3148	1913
311	3156	1902
312	3165	1891
313	3174	1880
314	3183	1869
315	3193	1859
316	3203	1849
317	3212	1838
318	3221	1827
319	3230	1817
320	3239	1806
321	3248	1795
322	3257	1784
323	3266	1774
324	3275	1763
325	3279	1750
326	3288	1739
327	3297	1728
328	3305	1718
329	3314	1707
330	3324	1697
331	3334	1687
332	3344	1677
333	3354	1667
334	3363	1656
335	3376	1648
336	3390	1640
337	3399	1629
338	3409	1619
339	3418	1608
340	3428	1598
341	3437	1588
342	3446	1577
343	3455	1567
344	3464	1556
345	3473	1545
346	3482	1535
347	3493	1525
348	3502	1515
349	3511	1504
350	3520	1494
351	3528	1483
352	3537	1473
353	3546	1462
354	3556	1452
355	3565	1442
356	3575	1432
357	3584	1421
358	3592	1411
359	3601	1400
360	3610	1390
361	3619	1379
362	3629	1369
363	3640	1360
364	3647	1349
365	3658	1339
366	3669	1329
367	3680	1320
368	3692	1310
369	3702	1301
370	3714	1291
371	3725	1281
372	3736	1272
373	3744	1261
374	3756	1252
375	3764	1241
